layer,prompt_id,base_joy,steered_joy,delta,latent,text_preview
16,1,0.1347,0.9836,0.8489,0.0459,"I went to a different school. It was a great day though because I was there to see the new school, and it was really nice. I was at the school for a few hours and it was really fun. I was at the school with my dad and we"
16,2,0.0376,0.0084,-0.0292,0.0113,"the best way to address the issue was to move the entire project to another server. This would be the first time I have moved a project, so I was a little apprehensive. Fortunately, I had the perfect server in mind. It is a brand-new server that has been specifically"
18,1,0.1347,0.6158,0.4811,-0.0393,"we went to the zoo! First we went to the farm. We saw cows, horses, pigs, and chickens. Then we went to the petting zoo. We saw goats, sheep, rabbits, and geese. They were all so cute! Then we went to the play area. We saw a kid on a"
18,2,0.0376,0.0068,-0.0308,-0.0357,"the 2018 15.6-inch model of the MacBook Pro was the best one for me. Apple’s 2018 MacBook Pro lineup, which is available in 13- and 15-inch sizes, was the subject of a lot of speculation before it was released. The new MacBook Pro models have a lot of new features,"
20,1,0.1347,0.9868,0.8521,0.0569,"I had a date with the sun. It was the first time I was able to see the sun in a long time, and I was so excited to be outside again. I had been inside all day yesterday because of the rain, and I couldn’t wait to get outside"
20,2,0.0376,0.0063,-0.0313,-0.0075,"I would not accept the offer. The reason for this is because I did not want to be stuck with a job that I did not enjoy. I also felt that I was not prepared to handle the workload that was required. The job would have been demanding and stressful,"
22,1,0.1347,0.9695,0.8348,0.1262,"we had our first group of children. It was so exciting to meet them and to get to know them. We were able to get to know their names, their favorite colors and foods and their favorite toys. We were able to take them on a tour of our classroom"
22,2,0.0376,0.0244,-0.0132,0.0921,"the best option for us was to have a home birth. I am sure that some people will think that I am crazy, and I understand that, but after reading everything and talking to my husband, we decided that this is what we wanted. As I began to tell people"
24,1,0.1347,0.7409,0.6062,0.0486,we were going to see a special animal. We all sat on the bus and were ready to go to the zoo. We were all excited to see the animals. We got to the zoo and looked around and saw a few animals. We walked to the zookeeper and asked
24,2,0.0376,0.0083,-0.0293,0.0121,"the company had not violated the law. So, I declined to recommend that the case be referred to the U.S. Department of Justice for criminal investigation. But I also wanted to make sure that I was not missing any information that might lead me to conclude otherwise. So, I asked"
